,track_name,artist_uri,artist_name,genre,popularity,followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mood
spotify:track:04vAjpZ2ppNIFcxq9bqj39,Generator,spotify:artist:2qnpHrOzdmOo1S4ox3j17x,Turnstile,hardcore punk,50,104795,0.258,0.968,0,-3.852,1,0.0681,7.2e-05,0.357,0.247,0.412,83.007,4,angry
spotify:track:2szaJ9Mos9LIjALAgO2sUV,Something Wicked,spotify:artist:4pVWSc4qEC6U3yIjQleh90,Trash Talk,black punk,36,45256,0.352,0.952,6,-5.699,1,0.114,2.85e-05,0.938,0.546,0.852,159.978,4,angry
spotify:track:1TJHL8IuaFDCyba4NdCtXQ,Marathon,spotify:artist:2FW1jqwbJgwWT8hTWHgBrq,Single Mothers,canadian hardcore,32,18077,0.472,0.983,6,-2.648,0,0.079,0.000895,0.00328,0.361,0.442,113.393,3,angry
spotify:track:0uFjabI2IRR1Mb8jIzkWHy,FT. FRANK TURNER,spotify:artist:4V5obzWMr7BHZrjOiQwB4K,The Armed,chaotic hardcore,39,10451,0.28,0.988,5,-4.107,0,0.0945,8.69e-05,0.945,0.367,0.0309,104.658,4,angry
spotify:track:5znCSBS6pZzQjM9IuS1oib,Paragons of Virtue,spotify:artist:7kWxekC5CZOLqOD4SMV6Go,Hesitation Wounds,chaotic hardcore,18,6775,0.149,0.997,1,-4.985,1,0.386,6.89e-06,0.000574,0.675,0.0335,167.201,4,angry
spotify:track:5qWI68Jb3ddfsPI5O27DKd,Reaper,spotify:artist:7tjMOkm52H3Qiz3ty2tbNw,Rotting Out,chaotic hardcore,38,32531,0.414,0.937,2,-4.165,1,0.12,0.000568,0.0634,0.0719,0.383,164.99,4,angry
spotify:track:5FR0YMb1HFGI2gHHPiW9qk,Green,spotify:artist:16QCJENzcdhwka9bTKYMVB,Touché Amoré,alternative emo,52,128463,0.547,0.917,1,-6.944,1,0.0681,1.16e-05,0.000227,0.12,0.3,90.005,4,angry
spotify:track:6ZJ0wPM4Hd7WC17Knjr0Dm,Mistakes Like Fractures,spotify:artist:4qrHkx5cgWIslciLXUMrYw,Knocked Loose,kentucky metal,53,156305,0.281,0.936,9,-3.566,1,0.119,3.9e-05,3.65e-06,0.33,0.193,142.818,4,angry
spotify:track:1bgA0pvQZCWRiSCAYgieyG,No More Bakeries in Highland Park,spotify:artist:0NP6XBVOCzcfpEjpnaU9Ew,Ass Life,na,11,582,0.207,0.966,9,-4.86,0,0.0741,5.03e-05,0.00333,0.351,0.303,179.659,4,angry
spotify:track:6LPdHHH7gBxoXLtnt3ZukN,Can't Shut It Off,spotify:artist:1H0jbitIBEtd1dayvgl2bT,Dead Tired,canadian hardcore,17,2822,0.202,0.937,5,-4.263,0,0.0569,4.08e-05,0.0,0.089,0.454,162.776,4,angry
spotify:track:6chFS0M9e67gNlHY11wnDm,High Pressure,spotify:artist:2qnpHrOzdmOo1S4ox3j17x,Turnstile,hardcore punk,50,104795,0.267,0.959,8,-4.213,1,0.0628,0.000104,0.768,0.394,0.463,185.12,4,angry
spotify:track:3ity3YPDTcpcd7wc6T3QdQ,Front Toward Enemy,spotify:artist:3nS4tSuT4VwGiZH6BtlJfC,Incendiary,melodic hardcore,42,44173,0.411,0.903,7,-2.22,1,0.0881,0.000363,0.00101,0.0822,0.357,124.707,4,angry
spotify:track:4dg2ylqFSHbvdkkh9wUAob,Familiar Drugs,spotify:artist:53RsXctnNmj9oKXvcbvzI2,Alexisonfire,canadian post-hardcore,55,291132,0.251,0.896,5,-10.577,1,0.0874,0.00568,0.000768,0.415,0.167,136.953,4,angry
