,track_uri,track_name,mood,artist_uri,artist_name,genre,popularity,followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
spotify:track:7MZF7YLxOP2to9iblSulLc,spotify:track:7MZF7YLxOP2to9iblSulLc,Modern Loneliness,sad,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv,Lauv,electropop,85,3735413,0.702,0.508,8,-7.105,1,0.035,0.144,0.0,0.108,0.143,82.008,4
spotify:track:13TMuxC8tdSfthXpHG9D26,spotify:track:13TMuxC8tdSfthXpHG9D26,1 SIDED LOVE,sad,spotify:artist:2cFrymmkijnjDg9SS92EPM,blackbear,electropop,86,3778873,0.584,0.42,8,-7.827,1,0.0322,0.236,0.0,0.119,0.283,90.051,4
spotify:track:7bdYxWPCs46dQ0XLwySOyv,spotify:track:7bdYxWPCs46dQ0XLwySOyv,better off,sad,spotify:artist:3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,electropop,80,1329154,0.708,0.322,8,-12.46,0,0.0371,0.747,9.24e-05,0.137,0.46,98.892,4
spotify:track:3WlbeuhfRSqU7ylK2Ui5U7,spotify:track:3WlbeuhfRSqU7ylK2Ui5U7,Snowchild,sad,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,canadian contemporary r&b,94,26781391,0.55,0.611,0,-7.475,1,0.137,0.162,6.88e-05,0.121,0.243,148.062,4
spotify:track:3wD5R5grD04FKW0zsBuiKy,spotify:track:3wD5R5grD04FKW0zsBuiKy,for life,sad,spotify:artist:5BxcZnUcETSt90VlbsdugI,Zachary Knowles,bedroom soul,55,22869,0.704,0.295,6,-11.083,1,0.0387,0.716,1.56e-05,0.133,0.427,130.011,4
spotify:track:6sHxpnCerm9M6A5zaFFNfs,spotify:track:6sHxpnCerm9M6A5zaFFNfs,Gone,sad,spotify:artist:7wLyGTO9vUS7ndlq4BvBGe,Blake Rose,australian electropop,59,31909,0.317,0.545,11,-6.439,0,0.0469,0.039,0.0,0.116,0.14,139.014,5
spotify:track:092bzgJ0IeH9sWMkBfVM9U,spotify:track:092bzgJ0IeH9sWMkBfVM9U,Can You Hear Me,sad,spotify:artist:2jHp7gQArCQrlMvdrIVFCg,Anson Seabra,indie cafe pop,72,486408,0.432,0.038,0,-16.77,1,0.041,0.944,5.25e-06,0.384,0.311,89.865,4
spotify:track:55OUCSy92BYCmhjOuzFQcf,spotify:track:55OUCSy92BYCmhjOuzFQcf,Used to You,sad,spotify:artist:4rTv3Ejc7hKMtmoBOK1B4T,Ali Gatie,canadian hip hop,78,1478755,0.505,0.537,10,-5.532,1,0.0278,0.137,0.0,0.145,0.194,131.988,4
spotify:track:1LdS1ULS9e18oW3M2C1MUj,spotify:track:1LdS1ULS9e18oW3M2C1MUj,"always, i'll care",sad,spotify:artist:3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,electropop,80,1329154,0.784,0.278,6,-10.745,1,0.041,0.918,0.000196,0.112,0.741,105.034,4
spotify:track:58gP5qkmlYpon0AJ2tj6qy,spotify:track:58gP5qkmlYpon0AJ2tj6qy,lonely again,sad,spotify:artist:3iri9nBFs9e4wN7PLIetAw,gnash,electropop,72,1543854,0.551,0.195,9,-13.638,0,0.085,0.489,0.0,0.0818,0.0573,143.978,4
spotify:track:6usQ5BOBsRY5Dc49kwXsTw,spotify:track:6usQ5BOBsRY5Dc49kwXsTw,Cocaine,sad,spotify:artist:1W7FNibLa0O0b572tB2w7t,Pink Sweat$,bedroom soul,77,457074,0.455,0.228,5,-12.343,1,0.0364,0.836,0.0,0.106,0.142,118.499,3
spotify:track:6moU77g9RQyMzHNuKEaQKq,spotify:track:6moU77g9RQyMzHNuKEaQKq,It's You,sad,spotify:artist:4rTv3Ejc7hKMtmoBOK1B4T,Ali Gatie,canadian hip hop,78,1478755,0.732,0.463,11,-6.972,0,0.0287,0.374,0.0,0.194,0.397,95.971,4
spotify:track:6qQ8a6M6o5mfj9wTdrbSgG,spotify:track:6qQ8a6M6o5mfj9wTdrbSgG,Older,sad,spotify:artist:7C3Cbtr2PkH2l4tOGhtCsk,Shallou,electropop,66,154945,0.543,0.483,2,-8.222,1,0.0697,0.285,2.6e-05,0.155,0.183,142.851,4
spotify:track:4GGSmoTmc5LClrowB4SmEw,spotify:track:4GGSmoTmc5LClrowB4SmEw,Mind Is A Prison,sad,spotify:artist:5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,electropop,79,2238150,0.637,0.661,5,-5.217,0,0.05,0.527,0.0,0.18,0.694,151.148,4
spotify:track:3H3r2nKWa3Yk5gt8xgmsEt,spotify:track:3H3r2nKWa3Yk5gt8xgmsEt,This City,sad,spotify:artist:6L1XC7NrmgWRlwAeLJvVtA,Sam Fischer,australian pop,72,70806,0.605,0.377,11,-6.213,1,0.0443,0.733,0.0,0.0808,0.519,73.877,4
spotify:track:42MwPTHQWWe4WUNwvdUh6Q,spotify:track:42MwPTHQWWe4WUNwvdUh6Q,Demons,sad,spotify:artist:5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,electropop,79,2238150,0.708,0.495,5,-7.496,0,0.0364,0.703,0.000115,0.34,0.761,142.926,4
spotify:track:47rks3vghBGi3B8q7ZIFkv,spotify:track:47rks3vghBGi3B8q7ZIFkv,hungover & i miss u,sad,spotify:artist:3iri9nBFs9e4wN7PLIetAw,gnash,electropop,72,1543854,0.926,0.418,6,-8.154,1,0.0471,0.37,7.78e-05,0.158,0.335,128.003,4
