"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"","track_uri","track_name","mood","artist_uri","artist_name","genre","popularity","followers","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"spotify:track:6SMHgPgNkhe9lneNTbgtel","spotify:track:6SMHgPgNkhe9lneNTbgtel","Love and Happiness","happy","spotify:artist:3dkbV4qihUeMsqN4vBGg93","Al Green","classic soul","68","1373771","0.822","0.457","6","-10.937","1","0.235","0.214","0.000397","0.0766","0.73","99.16","4"
"spotify:track:4dUOAFN1Yk2TuslROwZcdX","spotify:track:4dUOAFN1Yk2TuslROwZcdX","Give It Up","happy","spotify:artist:0En4EEcDMJ5kaUCf1aZ9js","Lee Dorsey","classic soul","48","31231","0.463","0.562","0","-8.932","0","0.078","0.132","1.82e-05","0.111","0.787","164.391","4"
"spotify:track:7zrPswSV1yxrill5OyCuaU","spotify:track:7zrPswSV1yxrill5OyCuaU","Pusherman","happy","spotify:artist:2AV6XDIs32ofIJhkkDevjm","Curtis Mayfield","chicago soul","63","754371","0.851","0.669","10","-9.562","1","0.0379","0.239","0.0852","0.108","0.911","126.624","4"
"spotify:track:6ZnHrF3PTc3JEVz4tlKAJh","spotify:track:6ZnHrF3PTc3JEVz4tlKAJh","Rock Steady","happy","spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok","Aretha Franklin","classic soul","74","2419752","0.734","0.811","7","-9.083","1","0.125","0.0332","0.0539","0.238","0.926","104.414","4"
"spotify:track:4oq10QlUc3rvww1huvtA2j","spotify:track:4oq10QlUc3rvww1huvtA2j","Mercy, Mercy","happy","spotify:artist:3SC1GczHVpsiorx1KFaa4S","Don Covay","classic soul","35","12711","0.896","0.374","9","-16.832","1","0.0746","0.23","0.000168","0.152","0.834","118.203","4"
"spotify:track:74iQ3gahRTOGc19bYadBE3","spotify:track:74iQ3gahRTOGc19bYadBE3","Thank You (Falettinme Be Mice Elf Agin) - Single Version","happy","spotify:artist:5m8H6zSadhu1j9Yi04VLqD","Sly & The Family Stone","classic rock","62","637348","0.9","0.709","9","-12.683","1","0.0636","0.296","0.00047","0.0863","0.897","105.822","4"
"spotify:track:2jg4Yc8071puvDRYi22B3a","spotify:track:2jg4Yc8071puvDRYi22B3a","Signed, Sealed, Delivered (I'm Yours)","happy","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","adult standards","80","4659022","0.646","0.784","5","-6.137","1","0.0334","0.00495","0.0","0.061","0.819","108.84","4"
"spotify:track:6PgVDY8GTkxF3GmhVGPzoB","spotify:track:6PgVDY8GTkxF3GmhVGPzoB","Hold On, I'm Comin'","happy","spotify:artist:2BVYdY4PyfCF9z4NrkhEB2","Sam & Dave","brill building pop","59","222037","0.803","0.338","6","-14.029","1","0.0349","0.196","0.038","0.097","0.912","106.841","4"
"spotify:track:16ZNz0wXDJERo4zquNPw7x","spotify:track:16ZNz0wXDJERo4zquNPw7x","How Sweet It Is (To Be Loved By You)","happy","spotify:artist:1rHh0AI30JhKrbzKIFjFNd","Jr. Walker & The All Stars","brill building pop","52","137449","0.575","0.731","1","-7.876","1","0.168","0.0114","3.97e-06","0.351","0.694","125.44","4"
"spotify:track:6vcG9EgeqJUSmmF65lxUm6","spotify:track:6vcG9EgeqJUSmmF65lxUm6","One Fine Day","happy","spotify:artist:05sIdEkXAYDbDDdv3T56Oj","The Chiffons","adult standards","48","73088","0.251","0.868","1","-2.685","1","0.128","0.488","7.34e-06","0.814","0.599","177.13","4"
